Lab.ID,X,Y,Total.Starch,TriticeaeST,FaboideaeST,PanicoideaeST,Type5,USO,USOA,USOB,USOC,PxGram,Grass.inflorescence,Grass.Culm.Leaves,Panicoideae.grass,Cyp. papillae,Arecaceae
Catal B80.1P,936.8217,962.3758,2,0,0,0,0,0,0,0,0,340937,24,198,10,7,0
Catal B80.2P,936.6631,962.008,0,0,0,0,0,0,0,0,0,171980,33,192,5,3,0
Catal B80.3P,936.4077,961.581,0,0,0,0,0,0,0,0,0,16766,12,206,2,0,0
Catal B80.4P,936.3662,962.4664,1,1,0,0,0,0,0,0,0,126735,31,184,9,13,0
Catal B80.5P,936.2179,962.1559,0,0,0,0,0,0,0,0,0,109056,13,217,8,4,0
Catal B80.6P,936.0483,961.8086,4,1,0,0,0,0,0,0,0,587286,49,179,3,4,0
Catal B80.7P,936.2621,962.9698,1,1,0,0,0,0,0,0,0,285758,42,194,0,0,0
Catal B80.8P,935.9139,962.8686,4,1,0,0,0,0,0,0,0,268478,54,173,6,8,0
Catal B80.9P,935.7254,962.4692,0,0,0,0,0,0,0,0,0,57094,34,196,0,2,0
Catal B80.10P,935.5117,962.1297,1,0,1,0,0,0,0,0,0,574034,42,181,1,14,0
Catal B80.11P,936.0647,961.2699,0,0,0,0,0,0,0,0,0,47593,6,236,0,0,0
Catal B80.12P,935.7673,961.4259,0,0,0,0,0,0,0,0,0,70027,19,214,0,2,0
Catal B80.13P,935.3644,961.625,1,0,0,1,0,0,0,0,0,585971,48,178,3,4,0
Catal B80.14P,935.3771,962.8546,0,0,0,0,0,0,0,0,0,531718,48,178,6,5,0
Catal B80.15P,935.1823,962.4221,0,0,0,0,0,0,0,0,0,189793,46,162,5,6,0
Catal B80.16P,934.9063,962.7698,0,0,0,0,0,0,0,0,0,596844,73,132,5,6,0
Catal B80.17P,934.5714,962.5957,1,0,0,0,0,0,0,0,0,165526,77,144,2,0,0
Catal B80.18P,934.1657,963.0964,0,0,0,0,0,0,0,0,0,683437,44,171,2,7,0
Catal B80.19P,934.0269,962.8874,1,0,0,0,0,0,0,0,0,473615,67,158,2,5,0
Catal B80.20P,934.7941,959.1041,0,0,0,0,0,0,0,0,0,39030,29,177,5,4,0
Catal B80.21P,934.4983,958.6258,0,0,0,0,0,0,0,0,0,177605,82,139,4,0,0
Catal B80.22P,934.425,959.3247,0,0,0,0,0,0,0,0,0,64034,39,191,5,2,1
Catal B80.23P,934.0845,958.7766,0,0,0,0,0,0,0,0,0,56660,86,142,5,3,0
Catal B80.24P,934.1804,958.0939,0,0,0,0,0,0,0,0,0,199009,41,156,8,1,1
Catal B80.25P,933.9398,957.7053,0,0,0,0,0,0,0,0,0,173791,61,149,2,3,1
Catal B80.26P,933.529,958.3101,0,0,0,0,0,0,0,0,0,213981,40,158,4,1,1
Catal B80.27P,933.3009,958.0494,6,0,1,0,2,0,0,0,0,349278,60,135,10,5,0
Catal B80.28P,932.9442,958.2281,31,0,0,1,12,0,0,0,0,207724,55,133,10,7,0
Catal B80.29P,934.0547,959.5488,0,0,0,0,0,0,0,0,0,202915,37,180,2,1,2
Catal B80.30P,933.7178,959.1123,1,1,0,0,0,0,0,0,0,741236,42,149,3,2,0
Catal B80.31P,933.7105,959.8599,2,0,0,0,0,0,0,0,0,297361,52,140,15,4,0
Catal B80.32P,933.3121,959.394,5,0,0,0,2,1,0,0,1,138794,60,116,20,10,0
Catal B80.33P,933.2823,958.9662,1,0,0,0,0,0,0,0,0,239358,60,149,10,2,2
Catal B80.34P,932.6388,958.9457,0,0,0,0,0,0,0,0,0,386758,44,151,10,11,0
Catal B80.35P,932.3814,958.5219,100,2,1,19,30,1,0,0,1,190077,53,134,9,9,1
Catal B80.36P,932.487,959.4586,301,2,1,52,61,0,0,0,0,468092,56,124,26,6,0
Catal B80.37P,932.1156,958.6552,89,3,0,14,12,0,0,0,0,1723322,41,114,15,12,0
Catal B80.38P,932.1074,959.8426,485,3,2,96,42,3,1,1,3,654690,47,122,22,10,0
Catal B80.39P,931.7687,959.345,82,1,1,14,13,1,0,0,1,86300,60,149,7,4,1
Catal B80.40P,931.7176,958.9053,164,6,1,38,36,2,1,1,2,368351,56,129,10,17,1
Catal B80.41P,932.4294,957.0629,1,0,0,0,0,0,0,0,0,953912,58,118,8,12,0
Catal B80.42P,932.8575,957.3995,2,0,0,0,0,2,0,2,0,1134572,50,134,10,7,0
Catal B80.43P,932.4135,957.8209,8,0,0,5,1,0,0,0,0,373872,68,122,10,9,0
Catal B80.44P,934.1481,960.6848,3,0,0,0,0,1,1,1,1,241851,71,138,2,3,0
Catal B80.45P,933.8285,960.3594,3,1,0,0,0,1,1,0,0,248634,56,150,6,3,0
Catal B80.46P,933.8268,960.9963,1,0,0,1,0,0,0,0,0,181119,57,159,4,3,0
Catal B80.47P,933.2507,960.9862,3,1,0,0,0,1,0,1,0,571845,38,163,4,3,0
Catal B80.48P,933.2114,960.5199,1,0,0,0,0,1,0,0,1,410200,36,180,2,5,0
Catal B80.49P,932.6539,960.7266,22,2,1,0,0,9,1,1,5,794900,29,186,1,0,0
Catal B80.50P,934.804,961.881,21,0,0,2,0,11,7,3,5,471405,98,111,4,5,0
Catal B80.51P,934.5688,961.4772,8,3,1,3,0,0,0,0,0,220146,120,96,1,1,0
Catal B80.52P,934.2889,960.9528,3,0,0,2,0,0,0,0,0,162671,98,130,4,1,0
Catal B80.53P,934.2962,962.215,0,0,0,0,0,0,0,0,0,252935,98,103,4,6,0
Catal B80.54P,934.0312,961.7737,4,3,0,0,0,0,0,0,0,148485,76,123,3,1,0
Catal B80.55P,933.7444,961.3132,3,0,0,0,0,0,0,0,0,66198,68,152,3,0,1
Catal B80.56P,933.7871,962.5888,1,0,0,0,0,0,0,0,0,769796,91,85,3,9,0
